bench,slide_id,origin,invert_spot_xy,grid,magnification,pixel_size_um_estimated
COAD,TENX111,lower,False,square,40x,0.2738047666871285
COAD,TENX147,lower,False,square,40x,0.2497022099084696
COAD,TENX148,lower,False,square,40x,0.2737603571635976
COAD,TENX149,lower,False,square,40x,0.2740308880582206
IDC,NCBI783,centre,True,square,40x,0.2739598559774087
IDC,NCBI785,centre,True,square,40x,0.3639107956749145
IDC,TENX95,centre,True,square,40x,0.2125
IDC,TENX99,centre,True,square,40x,0.2125
LUNG,TENX118,centre,True,square,40x,0.2738558376865452
LUNG,TENX141,centre,True,square,40x,0.2736430867919545
PAAD,TENX116,centre,True,square,40x,0.136887203675011
PAAD,TENX126,centre,True,square,40x,0.2738901649143521
PAAD,TENX140,centre,True,square,40x,0.2737677105869734
SKCM,TENX115,centre,True,square,40x,0.2736897890251921
SKCM,TENX117,centre,True,square,40x,0.1368527629551209
CCRCC,INT1,centre,True,hexagonal,40x,0.4568931177233368
CCRCC,INT2,centre,True,hexagonal,40x,0.4570383912248628
CCRCC,INT3,centre,True,hexagonal,40x,0.4576659038901602
CCRCC,INT4,centre,True,hexagonal,40x,0.4587134513912085
CCRCC,INT5,centre,True,hexagonal,40x,0.4566198144867198
CCRCC,INT6,centre,True,hexagonal,40x,0.4571428239714969
CCRCC,INT7,centre,True,hexagonal,40x,0.4576656043222626
CCRCC,INT8,centre,True,hexagonal,40x,0.4570383912248628
CCRCC,INT9,centre,True,hexagonal,40x,0.457549035711129
CCRCC,INT10,centre,True,hexagonal,40x,0.4580147333902844
CCRCC,INT11,centre,True,hexagonal,40x,0.456621005
CCRCC,INT12,centre,True,hexagonal,40x,0.4576641783871348
CCRCC,INT13,centre,True,hexagonal,40x,0.4574277884098857
CCRCC,INT14,centre,True,hexagonal,40x,0.4575717552543552
CCRCC,INT15,centre,True,hexagonal,40x,0.457852371
CCRCC,INT16,centre,True,hexagonal,40x,0.4576384517104322
CCRCC,INT17,centre,True,hexagonal,40x,0.4575303118810184
CCRCC,INT18,centre,True,hexagonal,40x,0.4580980504589049
CCRCC,INT19,centre,True,hexagonal,40x,0.4572546277932903
CCRCC,INT20,centre,True,hexagonal,40x,0.4571095567472187
CCRCC,INT21,centre,True,hexagonal,40x,0.4573366590957951
CCRCC,INT22,centre,True,hexagonal,40x,0.4575043161243126
CCRCC,INT23,centre,True,hexagonal,40x,0.4575331259845696
CCRCC,INT24,centre,True,hexagonal,40x,0.4573673151944301
HCC,NCBI642,centre,True,hexagonal,40x,0.4534062331416454
HCC,NCBI643,centre,True,hexagonal,40x,0.4539563409112828
LYMPH_IDC,NCBI681,centre,True,hexagonal,40x,0.2738919090219516
LYMPH_IDC,NCBI682,centre,True,hexagonal,40x,0.2738759539500113
LYMPH_IDC,NCBI683,centre,True,hexagonal,40x,0.2734232337203853
LYMPH_IDC,NCBI684,centre,True,hexagonal,40x,0.2734752041027168
PRAD,MEND139,centre,True,hexagonal,40x,0.3417704356235018
PRAD,MEND140,centre,True,hexagonal,40x,0.3416810637413744
PRAD,MEND141,centre,True,hexagonal,40x,0.3412434442674936
PRAD,MEND142,centre,True,hexagonal,40x,0.3412951940850326
PRAD,MEND143,centre,True,hexagonal,40x,0.341624049
PRAD,MEND144,centre,True,hexagonal,40x,0.3413461313911852
PRAD,MEND145,centre,True,hexagonal,40x,0.3414120524549937
PRAD,MEND146,centre,True,hexagonal,40x,0.3413129631225956
PRAD,MEND147,centre,True,hexagonal,40x,0.3483973614723697
PRAD,MEND148,centre,True,hexagonal,40x,0.3486920435618712
PRAD,MEND149,centre,True,hexagonal,40x,0.3486117565183791
PRAD,MEND150,centre,True,hexagonal,40x,0.3483775640553357
PRAD,MEND151,centre,True,hexagonal,40x,0.3486415888303953
PRAD,MEND152,centre,True,hexagonal,40x,0.3492472495860312
PRAD,MEND153,centre,True,hexagonal,40x,0.3485874483569101
PRAD,MEND154,centre,True,hexagonal,40x,0.5729653938552056
PRAD,MEND156,centre,True,hexagonal,40x,0.5729653938552056
PRAD,MEND157,centre,True,hexagonal,40x,0.5729649301384618
PRAD,MEND158,centre,True,hexagonal,40x,0.5736952860766773
PRAD,MEND159,centre,True,hexagonal,40x,0.6875645406332241
PRAD,MEND160,centre,True,hexagonal,40x,0.5729649301384623
PRAD,MEND161,centre,True,hexagonal,40x,0.6875667793808392
PRAD,MEND162,centre,True,hexagonal,40x,0.171728445418549
READ,ZEN36,centre,True,hexagonal,40x,0.459363338
READ,ZEN40,centre,True,hexagonal,40x,0.4598401833465827
READ,ZEN48,centre,True,hexagonal,40x,0.4591296732864132
READ,ZEN49,centre,True,hexagonal,40x,0.4596361645691399
